waypoint1	waypoint2	distance_m	duration_s
Panorama Point, Bushnell, NE 82082	Hoozier Hill, Franklin Township, IN 47341	1855473	61180
Boundary Peak Trailhead, Nevada 89010	Hoozier Hill, Franklin Township, IN 47341	3332959	114068
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Hoozier Hill, Franklin Township, IN 47341	1569705	57547
Monument Rd, Wantage, NJ 07461	Hoozier Hill, Franklin Township, IN 47341	1048235	35722
Taos Ski Valley, NM 87525	Hoozier Hill, Franklin Township, IN 47341	2107386	71964
Hoozier Hill, Franklin Township, IN 47341	Adirondack Loj Rd, Lake Placid, NY 12946	1260043	44352
Mount Mitchell Summit Trail, Burnsville, NC 28714	Hoozier Hill, Franklin Township, IN 47341	777614	29573
White Butte Trl, Bowman, ND 58623	Hoozier Hill, Franklin Township, IN 47341	2005608	66942
2280 OH-540, Bellefontaine, OH 43311	Hoozier Hill, Franklin Township, IN 47341	129114	6131
Black Mesa Trail, Kenton, OK 73946	Hoozier Hill, Franklin Township, IN 47341	1774638	60765
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Hoozier Hill, Franklin Township, IN 47341	3735575	123679
Mount Davis Observation Tower, Fort Hill, PA 15540	Hoozier Hill, Franklin Township, IN 47341	574294	20621
250-216 Hartford Pike, Foster, RI 02825	Hoozier Hill, Franklin Township, IN 47341	1353145	45882
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Hoozier Hill, Franklin Township, IN 47341	782428	29307
Palmer Creek Trailhead, Hill City, SD 57745	Hoozier Hill, Franklin Township, IN 47341	1935699	64306
Clingmans Dome Tennessee High Point, Tennessee 37738	Hoozier Hill, Franklin Township, IN 47341	636860	25134
Pine Springs Trailhead, Salt Flat, TX 79847	Hoozier Hill, Franklin Township, IN 47341	2252839	75562
85GFWM59+MG, Evanston, UT 84031	Hoozier Hill, Franklin Township, IN 47341	2533542	89414
Long Trail, Stowe, VT 05672	Hoozier Hill, Franklin Township, IN 47341	1362841	51464
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Hoozier Hill, Franklin Township, IN 47341	689166	24821
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Hoozier Hill, Franklin Township, IN 47341	3797148	130350
Hoozier Hill, Franklin Township, IN 47341	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	667218	25251
W3206 Co Rd R R, Ogema, WI 54459	Hoozier Hill, Franklin Township, IN 47341	968179	33050
Trail Lake Trailhead, Dubois, WY 82513	Hoozier Hill, Franklin Township, IN 47341	2467870	82674
Mount Sunflower, Weskan, KS 67762	Hawkeye Pt Rd, Sibley, IA 51249	899698	33395
Hawkeye Pt Rd, Sibley, IA 51249	Black Mountain Ridge Rd, Partridge, KY 40862	1659931	58892
Hawkeye Pt Rd, Sibley, IA 51249	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1561080	53549
Hawkeye Pt Rd, Sibley, IA 51249	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2949432	99675
Hawkeye Pt Rd, Sibley, IA 51249	2428 Seneca Trail, Eglon, WV 26716	1790190	60841
Hawkeye Pt Rd, Sibley, IA 51249	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2230537	75864
Skanee, MI 49962	Hawkeye Pt Rd, Sibley, IA 51249	892492	32542
Hawkeye Pt Rd, Sibley, IA 51249	Eagle Mountain Trailhead, Grand Marais, MN 55604	734556	27377
105 Woodall Mountain Rd, Iuka, MS 38852	Hawkeye Pt Rd, Sibley, IA 51249	1463569	51351
Hawkeye Pt Rd, Sibley, IA 51249	High Point Trail Head, Ironton, MO 63650	1062950	37740
W Rosebud Lake Rd, Fishtail, MT 59028	Hawkeye Pt Rd, Sibley, IA 51249	1290976	45190
Hawkeye Pt Rd, Sibley, IA 51249	Panorama Point, Bushnell, NE 82082	931187	33518
Hawkeye Pt Rd, Sibley, IA 51249	Boundary Peak Trailhead, Nevada 89010	2497240	85880
Hawkeye Pt Rd, Sibley, IA 51249	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	2356737	88489
Monument Rd, Wantage, NJ 07461	Hawkeye Pt Rd, Sibley, IA 51249	2075873	69444
Hawkeye Pt Rd, Sibley, IA 51249	Taos Ski Valley, NM 87525	1431757	52676
Hawkeye Pt Rd, Sibley, IA 51249	Adirondack Loj Rd, Lake Placid, NY 12946	2254319	77315
Mount Mitchell Summit Trail, Burnsville, NC 28714	Hawkeye Pt Rd, Sibley, IA 51249	1912871	66608
White Butte Trl, Bowman, ND 58623	Hawkeye Pt Rd, Sibley, IA 51249	892420	30928
2280 OH-540, Bellefontaine, OH 43311	Hawkeye Pt Rd, Sibley, IA 51249	1278536	44392
Black Mesa Trail, Kenton, OK 73946	Hawkeye Pt Rd, Sibley, IA 51249	1254849	44066
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Hawkeye Pt Rd, Sibley, IA 51249	2558679	87026
Hawkeye Pt Rd, Sibley, IA 51249	Mount Davis Observation Tower, Fort Hill, PA 15540	1712684	58055
250-216 Hartford Pike, Foster, RI 02825	Hawkeye Pt Rd, Sibley, IA 51249	2380783	79604
Hawkeye Pt Rd, Sibley, IA 51249	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1917685	66343
Hawkeye Pt Rd, Sibley, IA 51249	Palmer Creek Trailhead, Hill City, SD 57745	708683	23732
Clingmans Dome Tennessee High Point, Tennessee 37738	Hawkeye Pt Rd, Sibley, IA 51249	1772117	62169
Hawkeye Pt Rd, Sibley, IA 51249	Pine Springs Trailhead, Salt Flat, TX 79847	1864342	64831
Hawkeye Pt Rd, Sibley, IA 51249	85GFWM59+MG, Evanston, UT 84031	1775588	62429
Hawkeye Pt Rd, Sibley, IA 51249	Long Trail, Stowe, VT 05672	2357117	84427
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Hawkeye Pt Rd, Sibley, IA 51249	1810555	63888
Hawkeye Pt Rd, Sibley, IA 51249	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2536601	89799
Hawkeye Pt Rd, Sibley, IA 51249	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1858479	65721
Hawkeye Pt Rd, Sibley, IA 51249	W3206 Co Rd R R, Ogema, WI 54459	602815	21820
Hawkeye Pt Rd, Sibley, IA 51249	Trail Lake Trailhead, Dubois, WY 82513	1392710	46953
Mount Sunflower, Weskan, KS 67762	Black Mountain Ridge Rd, Partridge, KY 40862	1887228	65502
Mount Sunflower, Weskan, KS 67762	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1533660	50388
Mount Sunflower, Weskan, KS 67762	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3517193	118252
Mount Sunflower, Weskan, KS 67762	2428 Seneca Trail, Eglon, WV 26716	2181578	73414
Mount Sunflower, Weskan, KS 67762	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2798298	94442
Mount Sunflower, Weskan, KS 67762	Skanee, MI 49962	1870148	64700
Mount Sunflower, Weskan, KS 67762	Eagle Mountain Trailhead, Grand Marais, MN 55604	1716135	59630
Mount Sunflower, Weskan, KS 67762	105 Woodall Mountain Rd, Iuka, MS 38852	1622384	55070
Mount Sunflower, Weskan, KS 67762	High Point Trail Head, Ironton, MO 63650	1221764	41459
Mount Sunflower, Weskan, KS 67762	W Rosebud Lake Rd, Fishtail, MT 59028	1324732	45382
Mount Sunflower, Weskan, KS 67762	Panorama Point, Bushnell, NE 82082	388724	15222
Mount Sunflower, Weskan, KS 67762	Boundary Peak Trailhead, Nevada 89010	1782419	64236
Mount Sunflower, Weskan, KS 67762	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	3131741	109087
Mount Sunflower, Weskan, KS 67762	Monument Rd, Wantage, NJ 07461	2610272	87261
Mount Sunflower, Weskan, KS 67762	Taos Ski Valley, NM 87525	551717	21113
Mount Sunflower, Weskan, KS 67762	Adirondack Loj Rd, Lake Placid, NY 12946	2822080	95892
Mount Sunflower, Weskan, KS 67762	Mount Mitchell Summit Trail, Burnsville, NC 28714	2109791	71927
Mount Sunflower, Weskan, KS 67762	White Butte Trl, Bowman, ND 58623	975841	36332
Mount Sunflower, Weskan, KS 67762	2280 OH-540, Bellefontaine, OH 43311	1727924	58323
Mount Sunflower, Weskan, KS 67762	Black Mesa Trail, Kenton, OK 73946	322234	13238
Mount Sunflower, Weskan, KS 67762	Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	2268908	76946
Mount Sunflower, Weskan, KS 67762	Mount Davis Observation Tower, Fort Hill, PA 15540	2136331	72161
Mount Sunflower, Weskan, KS 67762	250-216 Hartford Pike, Foster, RI 02825	2915182	97422
Mount Sunflower, Weskan, KS 67762	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	2114605	71661
Mount Sunflower, Weskan, KS 67762	Palmer Creek Trailhead, Hill City, SD 57745	678470	26108
Mount Sunflower, Weskan, KS 67762	Clingmans Dome Tennessee High Point, Tennessee 37738	1969038	67488
Mount Sunflower, Weskan, KS 67762	Pine Springs Trailhead, Salt Flat, TX 79847	1010887	36433
Mount Sunflower, Weskan, KS 67762	85GFWM59+MG, Evanston, UT 84031	983001	39583
Mount Sunflower, Weskan, KS 67762	Long Trail, Stowe, VT 05672	2924878	103004
Mount Sunflower, Weskan, KS 67762	Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	2037852	70498
Mount Sunflower, Weskan, KS 67762	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	2365416	84464
Mount Sunflower, Weskan, KS 67762	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	2208655	75151
Mount Sunflower, Weskan, KS 67762	W3206 Co Rd R R, Ogema, WI 54459	1580471	53978
Mount Sunflower, Weskan, KS 67762	Trail Lake Trailhead, Dubois, WY 82513	1001204	35941
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Black Mountain Ridge Rd, Partridge, KY 40862	1302440	44329
Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	Black Mountain Ridge Rd, Partridge, KY 40862	1925830	68655
2428 Seneca Trail, Eglon, WV 26716	Black Mountain Ridge Rd, Partridge, KY 40862	572851	23193
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Black Mountain Ridge Rd, Partridge, KY 40862	1314332	47739
Skanee, MI 49962	Black Mountain Ridge Rd, Partridge, KY 40862	1511037	55133
Eagle Mountain Trailhead, Grand Marais, MN 55604	Black Mountain Ridge Rd, Partridge, KY 40862	1799367	65586
105 Woodall Mountain Rd, Iuka, MS 38852	Black Mountain Ridge Rd, Partridge, KY 40862	739882	27389
High Point Trail Head, Ironton, MO 63650	Black Mountain Ridge Rd, Partridge, KY 40862	889382	34905
W Rosebud Lake Rd, Fishtail, MT 59028	Black Mountain Ridge Rd, Partridge, KY 40862	2937885	102404
Panorama Point, Bushnell, NE 82082	Black Mountain Ridge Rd, Partridge, KY 40862	2174507	74940
Boundary Peak Trailhead, Nevada 89010	Black Mountain Ridge Rd, Partridge, KY 40862	3625245	126456
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Black Mountain Ridge Rd, Partridge, KY 40862	1659146	62045
Monument Rd, Wantage, NJ 07461	Black Mountain Ridge Rd, Partridge, KY 40862	1069010	38763
Taos Ski Valley, NM 87525	Black Mountain Ridge Rd, Partridge, KY 40862	2399671	84353
Adirondack Loj Rd, Lake Placid, NY 12946	Black Mountain Ridge Rd, Partridge, KY 40862	1467775	52101
Mount Mitchell Summit Trail, Burnsville, NC 28714	Black Mountain Ridge Rd, Partridge, KY 40862	240009	12368
White Butte Trl, Bowman, ND 58623	Black Mountain Ridge Rd, Partridge, KY 40862	2447869	84333
2280 OH-540, Bellefontaine, OH 43311	Black Mountain Ridge Rd, Partridge, KY 40862	537380	22343
Black Mesa Trail, Kenton, OK 73946	Black Mountain Ridge Rd, Partridge, KY 40862	2066923	73153
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Black Mountain Ridge Rd, Partridge, KY 40862	4054609	137439
Mount Davis Observation Tower, Fort Hill, PA 15540	Black Mountain Ridge Rd, Partridge, KY 40862	624624	24245
250-216 Hartford Pike, Foster, RI 02825	Black Mountain Ridge Rd, Partridge, KY 40862	1328769	47463
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Black Mountain Ridge Rd, Partridge, KY 40862	291128	13274
Palmer Creek Trailhead, Hill City, SD 57745	Black Mountain Ridge Rd, Partridge, KY 40862	2355591	80946
Clingmans Dome Tennessee High Point, Tennessee 37738	Black Mountain Ridge Rd, Partridge, KY 40862	279605	13566
Pine Springs Trailhead, Salt Flat, TX 79847	Black Mountain Ridge Rd, Partridge, KY 40862	2417586	82409
85GFWM59+MG, Evanston, UT 84031	Black Mountain Ridge Rd, Partridge, KY 40862	2825828	101802
Long Trail, Stowe, VT 05672	Black Mountain Ridge Rd, Partridge, KY 40862	1545398	58543
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Black Mountain Ridge Rd, Partridge, KY 40862	170485	8652
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Black Mountain Ridge Rd, Partridge, KY 40862	4151117	144957
Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	Black Mountain Ridge Rd, Partridge, KY 40862	484491	23199
W3206 Co Rd R R, Ogema, WI 54459	Black Mountain Ridge Rd, Partridge, KY 40862	1410439	50441
Trail Lake Trailhead, Dubois, WY 82513	Black Mountain Ridge Rd, Partridge, KY 40862	2786905	96434
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3076387	103605
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2428 Seneca Trail, Eglon, WV 26716	1772887	60217
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2464889	82690
Skanee, MI 49962	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1978886	68538
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Eagle Mountain Trailhead, Grand Marais, MN 55604	2102232	72350
105 Woodall Mountain Rd, Iuka, MS 38852	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	662237	23576
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	High Point Trail Head, Ironton, MO 63650	725576	27878
W Rosebud Lake Rd, Fishtail, MT 59028	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2687551	90856
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Panorama Point, Bushnell, NE 82082	1750302	61308
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Boundary Peak Trailhead, Nevada 89010	2768536	93180
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	2809703	96995
Monument Rd, Wantage, NJ 07461	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2219567	73714
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Taos Ski Valley, NM 87525	1485083	53106
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Adirondack Loj Rd, Lake Placid, NY 12946	2618332	87052
Mount Mitchell Summit Trail, Burnsville, NC 28714	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1260326	44595
White Butte Trl, Bowman, ND 58623	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2348058	79773
2280 OH-540, Bellefontaine, OH 43311	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1464314	51220
Black Mesa Trail, Kenton, OK 73946	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1239389	42801
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	3631727	122420
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Mount Davis Observation Tower, Fort Hill, PA 15540	1824660	61270
250-216 Hartford Pike, Foster, RI 02825	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	2479327	82413
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1134902	38693
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Palmer Creek Trailhead, Hill City, SD 57745	2059966	71657
Clingmans Dome Tennessee High Point, Tennessee 37738	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1165349	40682
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Pine Springs Trailhead, Salt Flat, TX 79847	1224054	41658
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	85GFWM59+MG, Evanston, UT 84031	2229786	83917
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Long Trail, Stowe, VT 05672	2695955	93493
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	1321042	43602
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	3728235	129938
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	1697174	59050
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	W3206 Co Rd R R, Ogema, WI 54459	1747088	60415
Driskill Mountain Trailhead, LA-507, Simsboro, LA 71275	Trail Lake Trailhead, Dubois, WY 82513	2364023	81415
2428 Seneca Trail, Eglon, WV 26716	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1471406	52591
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	709521	27301
Skanee, MI 49962	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1943252	77883
Eagle Mountain Trailhead, Grand Marais, MN 55604	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2298101	93448
105 Woodall Mountain Rd, Iuka, MS 38852	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2512722	86900
High Point Trail Head, Ironton, MO 63650	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2572591	88455
W Rosebud Lake Rd, Fishtail, MT 59028	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4237224	143144
Panorama Point, Bushnell, NE 82082	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3574334	120192
Boundary Peak Trailhead, Nevada 89010	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	5091770	173069
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	432081	19981
Monument Rd, Wantage, NJ 07461	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	906122	32545
Taos Ski Valley, NM 87525	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4006881	136779
Adirondack Loj Rd, Lake Placid, NY 12946	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	837266	32576
Mount Mitchell Summit Trail, Burnsville, NC 28714	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2000736	70893
White Butte Trl, Bowman, ND 58623	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3691309	124345
2280 OH-540, Bellefontaine, OH 43311	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1809894	62285
Black Mesa Trail, Kenton, OK 73946	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3674132	125580
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	5454436	182691
Mount Davis Observation Tower, Fort Hill, PA 15540	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1404199	50411
250-216 Hartford Pike, Foster, RI 02825	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	640184	23097
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2064222	72810
Palmer Creek Trailhead, Hill City, SD 57745	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	3621400	121708
Clingmans Dome Tennessee High Point, Tennessee 37738	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2052445	73077
Pine Springs Trailhead, Salt Flat, TX 79847	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4152334	140377
85GFWM59+MG, Evanston, UT 84031	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4370119	149618
Long Trail, Stowe, VT 05672	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	594843	27056
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1802794	62978
Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	5482849	187752
Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	1512706	55469
W3206 Co Rd R R, Ogema, WI 54459	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	2116683	85045
Trail Lake Trailhead, Dubois, WY 82513	Appalachian National Scenic TrailHead parking, Millinocket, ME 04462	4186732	141686
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2428 Seneca Trail, Eglon, WV 26716	854465	31469
Skanee, MI 49962	2428 Seneca Trail, Eglon, WV 26716	1500294	52270
2428 Seneca Trail, Eglon, WV 26716	Eagle Mountain Trailhead, Grand Marais, MN 55604	1884631	66743
105 Woodall Mountain Rd, Iuka, MS 38852	2428 Seneca Trail, Eglon, WV 26716	1155813	41487
2428 Seneca Trail, Eglon, WV 26716	High Point Trail Head, Ironton, MO 63650	1251399	43375
W Rosebud Lake Rd, Fishtail, MT 59028	2428 Seneca Trail, Eglon, WV 26716	3079049	104289
Panorama Point, Bushnell, NE 82082	2428 Seneca Trail, Eglon, WV 26716	2416159	81337
Boundary Peak Trailhead, Nevada 89010	2428 Seneca Trail, Eglon, WV 26716	3920673	134235
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	2428 Seneca Trail, Eglon, WV 26716	1199279	45775
Monument Rd, Wantage, NJ 07461	2428 Seneca Trail, Eglon, WV 26716	604323	22272
2428 Seneca Trail, Eglon, WV 26716	Taos Ski Valley, NM 87525	2695100	92132
2428 Seneca Trail, Eglon, WV 26716	Adirondack Loj Rd, Lake Placid, NY 12946	1007908	35831
Mount Mitchell Summit Trail, Burnsville, NC 28714	2428 Seneca Trail, Eglon, WV 26716	711724	28420
White Butte Trl, Bowman, ND 58623	2428 Seneca Trail, Eglon, WV 26716	2533133	85490
2280 OH-540, Bellefontaine, OH 43311	2428 Seneca Trail, Eglon, WV 26716	488365	18657
Black Mesa Trail, Kenton, OK 73946	2428 Seneca Trail, Eglon, WV 26716	2362351	80933
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	2428 Seneca Trail, Eglon, WV 26716	4296260	143836
Mount Davis Observation Tower, Fort Hill, PA 15540	2428 Seneca Trail, Eglon, WV 26716	83244	4392
250-216 Hartford Pike, Foster, RI 02825	2428 Seneca Trail, Eglon, WV 26716	868902	31193
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	2428 Seneca Trail, Eglon, WV 26716	762843	29326
2428 Seneca Trail, Eglon, WV 26716	Palmer Creek Trailhead, Hill City, SD 57745	2463224	82854
Clingmans Dome Tennessee High Point, Tennessee 37738	2428 Seneca Trail, Eglon, WV 26716	751066	29593
Pine Springs Trailhead, Salt Flat, TX 79847	2428 Seneca Trail, Eglon, WV 26716	2794223	94734
85GFWM59+MG, Evanston, UT 84031	2428 Seneca Trail, Eglon, WV 26716	3121256	109582
2428 Seneca Trail, Eglon, WV 26716	Long Trail, Stowe, VT 05672	1085531	42273
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	2428 Seneca Trail, Eglon, WV 26716	501415	19494
2428 Seneca Trail, Eglon, WV 26716	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	4324673	148898
2428 Seneca Trail, Eglon, WV 26716	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	102373	5645
2428 Seneca Trail, Eglon, WV 26716	W3206 Co Rd R R, Ogema, WI 54459	1495703	51598
Trail Lake Trailhead, Dubois, WY 82513	2428 Seneca Trail, Eglon, WV 26716	3028556	102831
Skanee, MI 49962	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1726594	60654
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Eagle Mountain Trailhead, Grand Marais, MN 55604	2323770	81709
105 Woodall Mountain Rd, Iuka, MS 38852	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1904636	65876
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	High Point Trail Head, Ironton, MO 63650	1874747	64684
W Rosebud Lake Rd, Fishtail, MT 59028	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	3518188	119255
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Panorama Point, Bushnell, NE 82082	2855298	96303
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Boundary Peak Trailhead, Nevada 89010	4372734	149180
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	380132	17894
Monument Rd, Wantage, NJ 07461	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	256968	10895
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Taos Ski Valley, NM 87525	3309037	113008
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Adirondack Loj Rd, Lake Placid, NY 12946	257070	11859
Mount Mitchell Summit Trail, Burnsville, NC 28714	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1401738	50020
White Butte Trl, Bowman, ND 58623	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2972273	100456
2280 OH-540, Bellefontaine, OH 43311	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1112050	38513
Black Mesa Trail, Kenton, OK 73946	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	2976288	101808
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	4735400	158802
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Mount Davis Observation Tower, Fort Hill, PA 15540	784525	29023
250-216 Hartford Pike, Foster, RI 02825	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	210266	9005
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	1456136	51786
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Palmer Creek Trailhead, Hill City, SD 57745	2902364	97819
Clingmans Dome Tennessee High Point, Tennessee 37738	Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	1444360	52053
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Pine Springs Trailhead, Salt Flat, TX 79847	3454489	116605
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	85GFWM59+MG, Evanston, UT 84031	3651083	125729
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Long Trail, Stowe, VT 05672	312807	14290
