waypoint1	waypoint2	distance_m	duration_s
Veterans War Memorial Tower, Mount Greylock State Reservation, Adams, MA 01220	Whitney Portal Rd, Lone Pine, CA 93545	4531105	151943
Skanee, MI 49962	Whitney Portal Rd, Lone Pine, CA 93545	3525713	119966
Whitney Portal Rd, Lone Pine, CA 93545	Eagle Mountain Trailhead, Grand Marais, MN 55604	3367777	114801
105 Woodall Mountain Rd, Iuka, MS 38852	Whitney Portal Rd, Lone Pine, CA 93545	3108626	102726
Whitney Portal Rd, Lone Pine, CA 93545	High Point Trail Head, Ironton, MO 63650	2943983	98465
W Rosebud Lake Rd, Fishtail, MT 59028	Whitney Portal Rd, Lone Pine, CA 93545	1759208	64068
Panorama Point, Bushnell, NE 82082	Whitney Portal Rd, Lone Pine, CA 93545	1727952	59289
Boundary Peak Trailhead, Nevada 89010	Whitney Portal Rd, Lone Pine, CA 93545	178781	8247
1598 Mt Washington Auto Rd, Sargents Purchase, NH 03589	Whitney Portal Rd, Lone Pine, CA 93545	4823130	163931
Monument Rd, Wantage, NJ 07461	Whitney Portal Rd, Lone Pine, CA 93545	4376441	145522
Whitney Portal Rd, Lone Pine, CA 93545	Taos Ski Valley, NM 87525	1540726	53775
Whitney Portal Rd, Lone Pine, CA 93545	Adirondack Loj Rd, Lake Placid, NY 12946	4554887	153393
Mount Mitchell Summit Trail, Burnsville, NC 28714	Whitney Portal Rd, Lone Pine, CA 93545	3789933	126529
White Butte Trl, Bowman, ND 58623	Whitney Portal Rd, Lone Pine, CA 93545	2179876	75171
2280 OH-540, Bellefontaine, OH 43311	Whitney Portal Rd, Lone Pine, CA 93545	3564959	119314
Black Mesa Trail, Kenton, OK 73946	Whitney Portal Rd, Lone Pine, CA 93545	1812506	61206
Mt. Hood National Forest Timberline Lodge, Government Camp, OR 97028	Whitney Portal Rd, Lone Pine, CA 93545	1214155	47313
Mount Davis Observation Tower, Fort Hill, PA 15540	Whitney Portal Rd, Lone Pine, CA 93545	3973366	133152
250-216 Hartford Pike, Foster, RI 02825	Whitney Portal Rd, Lone Pine, CA 93545	4681351	155682
1391 F Van Clayton Memorial Hwy, Sunset, SC 29685	Whitney Portal Rd, Lone Pine, CA 93545	3784401	125767
Whitney Portal Rd, Lone Pine, CA 93545	Palmer Creek Trailhead, Hill City, SD 57745	1936522	67069
Clingmans Dome Tennessee High Point, Tennessee 37738	Whitney Portal Rd, Lone Pine, CA 93545	3649179	122090
Pine Springs Trailhead, Salt Flat, TX 79847	Whitney Portal Rd, Lone Pine, CA 93545	1702829	57617
85GFWM59+MG, Evanston, UT 84031	Whitney Portal Rd, Lone Pine, CA 93545	1079994	40171
Whitney Portal Rd, Lone Pine, CA 93545	Long Trail, Stowe, VT 05672	4657685	160505
Elk Garden Trailhead, Co Rd 600, Troutdale, VA 24378	Whitney Portal Rd, Lone Pine, CA 93545	3804873	125010
Whitney Portal Rd, Lone Pine, CA 93545	Henry M. Jackson Memorial Visitors Center, Paradise Rd E, Ashford, WA 98304	1522864	59324
Whitney Portal Rd, Lone Pine, CA 93545	Trailhead to Spruce Knob, Forest Rd 274, Riverton, WV 26814	4045690	136142
Whitney Portal Rd, Lone Pine, CA 93545	W3206 Co Rd R R, Ogema, WI 54459	3236037	109244
Trail Lake Trailhead, Dubois, WY 82513	Whitney Portal Rd, Lone Pine, CA 93545	1514527	54015
